// Edit this file to update the lesson website.
// Format for each item:
// Chinese | Pinyin | English

# Lesson 1: Hello & Self Introduction

## Key Vocabulary
你好 | nǐ hǎo | hello
现在晚上十一点十五分了。 | xiànzài wǎnshang shíyī diǎn shíwǔ fēn le. | It is 11:15 PM now.
早上九点零八分。 | zǎoshang jiǔ diǎn líng bā fēn. | 9:08 AM.

# Lesson 6: Shopping Basics

## Key Vocabulary
钱 | qián | money
人民币 | rénmínbì | RMB; Chinese currency
元 | yuán | formal RMB unit
块 | kuài | spoken RMB unit
毛 | máo | tenth of a yuan
现金 | xiànjīn | cash
刷卡 | shuākǎ | pay by card
扫码 | sǎomǎ | scan to pay
苹果 | píngguǒ | apple
水 | shuǐ | water
杯子 | bēizi | cup
车票 | chēpiào | ticket
纪念品 | jìniànpǐn | souvenir
买 | mǎi | buy
想买 | xiǎng mǎi | want to buy
这个 | zhège | this one
那个 | nàge | that one
多少钱 | duōshǎo qián | how much money
一共 | yígòng | total; altogether

## Key Sentences
你想买什么？ | nǐ xiǎng mǎi shénme? | What do you want to buy?
我想买苹果。 | wǒ xiǎng mǎi píngguǒ. | I want to buy apples.
我想买水。 | wǒ xiǎng mǎi shuǐ. | I want to buy water.
这个多少钱？ | zhège duōshǎo qián? | How much is this?
那个多少钱？ | nàge duōshǎo qián? | How much is that?
八块。 | bā kuài. | Eight yuan.
十八块五。 | shíbā kuài wǔ. | 18.5 yuan.
一共多少钱？ | yígòng duōshǎo qián? | How much in total?
一共三十块。 | yígòng sānshí kuài. | 30 yuan in total.
太贵了。 | tài guì le. | Too expensive.
可以刷卡吗？ | kěyǐ shuākǎ ma? | Can I pay by card?
可以扫码吗？ | kěyǐ sǎomǎ ma? | Can I scan to pay?
可以用现金吗？ | kěyǐ yòng xiànjīn ma? | Can I use cash?
可以。 | kěyǐ. | Yes, you can.
不可以。 | bù kěyǐ. | No, you can't.
